episode,reward
0,4.5815
100,-2.4315
200,0.582
300,-1.605
400,1.283
500,2.455
600,0.997
700,0.3165
800,1.065
900,0.304
1000,1.8735
1100,2.873
1200,1.1475
1300,2.1285
1400,2.7385
1500,1.6085
1600,3.4755
1700,2.78
1800,1.011
1900,0.3375
2000,1.562
2100,1.9175
2200,0.7055
2300,2.499
2400,2.763
2500,3.477
2600,1.8055
2700,2.397
2800,0.738
2900,2.4805
3000,4.263
3100,3.2995
3200,2.0525
3300,4.684
3400,-0.4475
3500,2.933
3600,1.958
3700,3.564
3800,4.57
3900,-0.056
4000,3.8735
4100,4.5345
4200,1.87
4300,4.203
4400,3.9005
4500,6.022
4600,1.1325
4700,2.8195
4800,4.3225
4900,2.899
5000,5.5285
5100,4.2035
5200,2.6945
5300,2.068
5400,3.124
5500,3.9375
5600,2.9475
5700,5.1795
5800,4.0515
5900,2.891
6000,4.4
6100,4.801
6200,3.716
6300,0.478
6400,2.8515
6500,-0.853
6600,3.2325
6700,2.0675
6800,0.6025
6900,4.9885
7000,6.227
7100,2.6195
7200,3.199
7300,5.3015
7400,4.1325
7500,4.797
7600,2.1435
7700,3.7205
7800,4.678
7900,5.354
8000,5.228
8100,6.323
8200,4.1335
8300,4.683
8400,2.4325
8500,0.8725
8600,2.324
8700,3.3665
8800,4.6
8900,4.4485
9000,2.7215
9100,1.887
9200,0.831
9300,2.7255
9400,3.5855
9500,1.9205
9600,2.2395
9700,1.9525
9800,6.0385
9900,4.6295
10000,2.912
10100,4.3385
10200,4.1375
10300,6.9765
10400,5.8585
10500,2.2
10600,4.917
10700,3.6255
10800,4.783
10900,3.3825
11000,2.252
11100,5.318
11200,5.3195
11300,4.113
11400,2.8165
11500,3.111
11600,5.8605
11700,3.0895
11800,1.0645
11900,2.5065
12000,6.181
12100,2.138
12200,3.62
12300,4.44
12400,1.842
12500,5.774
12600,7.603
12700,3.794
12800,7.622
12900,5.1565
13000,1.965
13100,5.028
13200,5.533
13300,3.4275
13400,6.716
13500,5.2645
13600,1.895
13700,5.6455
13800,5.9365
13900,2.915
14000,3.2485
14100,2.6615
14200,4.9485
14300,3.83
14400,5.356
14500,4.6245
14600,2.9445
14700,2.176
14800,5.838
14900,4.9735
